epoch,loss_g,loss_d,sensitivity,specificity,false_positive_rate,precision,dice_score,balanced_accuracy,smooth_dice_loss,mae,datetime,dataset,mri_types
0,1.0659910440444946,-0.1130763813853264,1.8542688849265687e-05,0.9999953508377076,4.7265061766665895e-06,,3.705381095642224e-05,0.5000069737434387,0.9529147148132324,0.03058617562055588,2019-07-10 15:21:34.993077,brats,MR_T1
0,1.0747052431106567,-0.11619805544614792,9.41068628890207e-06,0.9999648928642272,3.514125637593679e-05,,1.8703263776842505e-05,0.4999871551990509,0.9585071206092834,0.030628370121121407,2019-07-10 15:21:52.014583,brats,MR_T1c
0,1.0683660507202148,-0.11478975415229795,0.0010135257616639137,0.9995924830436708,0.00040743680438026786,,0.001920891809277236,0.5003030300140381,0.9535761475563048,0.031034745275974274,2019-07-10 15:22:08.631495,brats,MR_T2
0,1.084949970245361,-0.1325611174106598,1.856245035014581e-06,0.9998707771301272,0.0001292782690143213,,3.711828412633622e-06,0.4999363124370575,0.9523890018463136,0.030728282406926155,2019-07-10 15:22:24.536719,brats,MR_Flair
0,0.8583024740219116,-0.0452570877969265,0.09066631644964218,0.9935615658760072,0.0064385742880404,0.06396084278821945,0.05891681089997292,0.5421139001846313,0.8130455017089844,0.010710940696299076,2019-07-10 15:22:45.912000,bd2decide,T1
0,0.8433032631874084,-0.032228946685791016,0.19410134851932528,0.9961366057395936,0.003863355377689004,0.19323527812957764,0.17099498212337494,0.5951189994812012,0.8110745549201965,0.007383333519101144,2019-07-10 15:23:06.678275,bd2decide,T2
