,model,run,dice_score_0,precision_0,sensitivity_0,loss_g,loss_d,learning_rate_g,learning_rate_d,dice_score_complete_tumor_2019,precision_complete_tumor_2019,sensitivity_complete_tumor_2019,dice_score_tumor_core_2019,precision_tumor_core_2019,sensitivity_tumor_core_2019,dice_score_complete_tumor,precision_complete_tumor,sensitivity_complete_tumor,dice_score_tumor_core,precision_tumor_core,sensitivity_tumor_core,dice_score_enhancing_tumor,precision_enhancing_tumor,sensitivity_enhancing_tumor,epoch,Source Modality,Target Modality
0,Segan_IO_TF2_brats_on_T1,merged,0.5377634571230209,0.5703599813478915,0.5567384778648954,1.0453539338978854,-0.621695092049512,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,T1,T1
1,Segan_IO_TF2_brats_on_T1,merged,0.35927926005626265,0.3436732480810447,0.4234596130099486,1.5645750349218195,-0.9752467055212367,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,T1,T1c
2,Segan_IO_TF2_brats_on_T1,merged,0.10838740578090603,0.07946550293232907,0.29487198090011424,2.952857431498441,-2.1387443748387422,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,T1,T2
3,Segan_IO_TF2_brats_on_T1,merged,0.10706647102805701,0.0851277976042845,0.21133932379836387,2.372655480558222,-1.6568687157197433,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,T1,Flair
4,Segan_IO_TF2_brats_on_T1c,merged,0.43502351993864236,0.5405474931678989,0.416621305082332,0.9686355406587774,-0.4867330028252168,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,T1c,T1
5,Segan_IO_TF2_brats_on_T1c,merged,0.5777317930690267,0.6127688174220649,0.580721993621608,0.8477280681783502,-0.4343046261505647,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,T1c,T1c
6,Segan_IO_TF2_brats_on_T1c,merged,0.17612338653680953,0.10964862221682614,0.6219974540851333,2.1406394178217107,-1.3544024965979837,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,T1c,T2
7,Segan_IO_TF2_brats_on_T1c,merged,0.3823759612034668,0.3023693629625169,0.6267060298811306,1.2505495949224992,-0.7484182926741514,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,T1c,Flair
8,Segan_IO_TF2_brats_on_T2,merged,0.12780316883528775,0.07572258267212997,0.5259149854833429,1.5190680568868464,-0.6859058705243197,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,T2,T1
9,Segan_IO_TF2_brats_on_T2,merged,0.1494988689707084,0.0965802560645071,0.5077718669040636,1.3857882380485536,-0.5818700503219257,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,T2,T1c
10,Segan_IO_TF2_brats_on_T2,merged,0.7212032805789601,0.7725324506109411,0.7241280447353017,0.392345943776044,-0.11164778620004653,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,T2,T2
11,Segan_IO_TF2_brats_on_T2,merged,0.5307021031325514,0.43633966469629243,0.8479757455262271,0.7450451428239996,-0.23012259074232794,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,T2,Flair
12,Segan_IO_TF2_brats_on_FLAIR,merged,0.0820724397029897,0.0763380447233265,0.12123800262131475,0.9880564516240901,-0.2906179124658758,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,Flair,T1
13,Segan_IO_TF2_brats_on_FLAIR,merged,0.2585570163982497,0.37235489772124725,0.24039744428697635,0.7927742063999176,-0.18652296946807342,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,Flair,T1c
14,Segan_IO_TF2_brats_on_FLAIR,merged,0.4210061869838021,0.3800064277919856,0.5437473950738256,0.8219813558188351,-0.21776794628663496,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,Flair,T2
15,Segan_IO_TF2_brats_on_FLAIR,merged,0.8098373624411497,0.858129189231179,0.7868627366694537,0.33896906091408296,-0.10490093414079059,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,Flair,Flair
