,dice_score_0,precision_0,sensitivity_0,loss_g,loss_d,learning_rate_g,learning_rate_d,dice_score_complete_tumor_2019,precision_complete_tumor_2019,sensitivity_complete_tumor_2019,dice_score_tumor_core_2019,precision_tumor_core_2019,sensitivity_tumor_core_2019,dice_score_complete_tumor,precision_complete_tumor,sensitivity_complete_tumor,dice_score_tumor_core,precision_tumor_core,sensitivity_tumor_core,dice_score_enhancing_tumor,precision_enhancing_tumor,sensitivity_enhancing_tumor,epoch,model,run
0,0.8246573529592375,0.842253466931785,0.8352822261612589,0.24962246363482826,-0.0566878207255064,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,133,Segan_IO_TF2_brats2019_ALL,validation
1,0.7629239653668752,0.8118809832305443,0.7618168192665752,0.2403835367138793,-0.053607505587179485,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,338,SegAnIO_brats2019_flair_singlelab_nocrop,validation
2,0.8136856853961945,0.8495038253505055,0.8096629315760078,0.24856139683141945,-0.051593439653515816,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,44,Segan_TF2_brats2019_ALL,validation
3,0.6751492501395505,0.8281333461040403,0.6071167523722824,0.5030598480526994,-0.08747790254107336,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,136,Segan_IO_TF2_brats2019_T2,validation
4,0.5593243723269552,0.6195075023101597,0.5723787833902441,0.493172345728409,-0.08740181121520879,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,300,Transfer_Brats2019_Flair_to_t1ce_freeze_all,validation
5,0.7221312595576774,0.7502638472289573,0.7350818267682704,0.34829028096140885,-0.06487043747087805,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,191,Transfer_Brats2019_Flair_to_t2_freeze_all,validation
6,0.6740931468765909,0.6425358809349013,0.7754891458444481,0.6730850506119612,-0.2040878762377472,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,151,Transfer_Brats2019_Flair_to_t2,validation
7,0.7633335757546309,0.7574127730799884,0.8101838078440692,0.30511055523302505,-0.06588630332815938,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,89,Segan_IO_TF2_brats2019_FLAIR,validation
8,0.587090219393736,0.6781283295372638,0.5768834253568657,0.5889142897070908,-0.2362192245881732,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,597,Segan_IO_TF2_brats2019_T1ce,validation
9,0.4683282752010245,0.5270908783053662,0.49421252121740006,0.6081687982489423,-0.17890133118120635,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,258,Transfer_Brats2019_Flair_to_t1ce,validation
10,0.5424854606389999,0.5864077106845088,0.6090205520754908,0.4710966664843443,-0.0973085626369206,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,124,Segan_IO_TF2_brats2019_T1,validation
11,0.5024753510895208,0.5705058490857482,0.5815272426840327,0.5178360001343053,-0.12394148170402865,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,144,Transfer_Brats2019_Flair_to_t1,validation
