,model,run,dice_score_0,precision_0,sensitivity_0,loss_g,loss_d,learning_rate_g,learning_rate_d,dice_score_complete_tumor_2019,precision_complete_tumor_2019,sensitivity_complete_tumor_2019,dice_score_tumor_core_2019,precision_tumor_core_2019,sensitivity_tumor_core_2019,dice_score_complete_tumor,precision_complete_tumor,sensitivity_complete_tumor,dice_score_tumor_core,precision_tumor_core,sensitivity_tumor_core,dice_score_enhancing_tumor,precision_enhancing_tumor,sensitivity_enhancing_tumor,epoch,Source Modality,Target Modality
0,Segan_IO_TF2_brats2019_T1,validation,0.5424854606389999,0.5864077106845088,0.6090205520754908,0.47109666866500205,-0.09730856447685056,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,T1,T1
1,Segan_IO_TF2_brats2019_T1,validation,0.2872115150321184,0.34169726587105087,0.3324301859772787,0.7010554922063176,-0.13961421666530574,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,T1,T1c
2,Segan_IO_TF2_brats2019_T1,validation,0.07869595506160361,0.048417945233423534,0.3228836198587243,1.307875880380956,-0.45082133354210274,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,T1,T2
3,Segan_IO_TF2_brats2019_T1,validation,0.03711255951166982,0.02473626838409251,0.09402498124570517,1.0936571708539637,-0.31316903015462366,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,T1,Flair
4,Segan_IO_TF2_brats2019_T1ce,validation,0.492105999916065,0.6285168617600347,0.46274152517364153,0.629273978675284,-0.2309549365465234,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,T1c,T1
5,Segan_IO_TF2_brats2019_T1ce,validation,0.587090219393736,0.6781283295372638,0.5768834253568657,0.5889142897070908,-0.23621922458817318,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,T1c,T1c
6,Segan_IO_TF2_brats2019_T1ce,validation,0.10029642463366432,0.057595413155490306,0.5642806233429327,2.067725326956772,-1.2247484297287174,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,T1c,T2
7,Segan_IO_TF2_brats2019_T1ce,validation,0.2233704404860008,0.16792186792576458,0.4738632645912287,1.2183012962341309,-0.5878656790023897,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,T1c,Flair
8,Segan_IO_TF2_brats2019_T2,validation,0.06215547492000752,0.04122641747813404,0.1873181668506288,1.2919946705422751,-0.42771913983472964,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,T2,T1
9,Segan_IO_TF2_brats2019_T2,validation,0.08232436140018008,0.06911479337151566,0.16922400499083223,1.1070973640534936,-0.28642809936186164,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,T2,T1c
10,Segan_IO_TF2_brats2019_T2,validation,0.6751492501395505,0.8281333461040403,0.6071167523722824,0.5030598480526994,-0.08747790254107336,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,T2,T2
11,Segan_IO_TF2_brats2019_T2,validation,0.5907860463712273,0.5573534204102144,0.7431734720381294,0.5841463055552506,-0.12819695713498244,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,T2,Flair
12,Segan_IO_TF2_brats2019_FLAIR,validation,0.04924577997775398,0.036915462539426944,0.10991519197341404,1.0297313826840098,-0.30624410982539013,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,Flair,T1
13,Segan_IO_TF2_brats2019_FLAIR,validation,0.15773549843182014,0.23199570312863216,0.1990558689278437,0.7946409335950526,-0.15957988471519657,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,Flair,T1c
14,Segan_IO_TF2_brats2019_FLAIR,validation,0.3999291870419345,0.4093898590994863,0.434198548032039,0.7114408314228058,-0.11490198115750057,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,Flair,T2
15,Segan_IO_TF2_brats2019_FLAIR,validation,0.7633335757546309,0.7574127730799884,0.810183807844069,0.30511055450613905,-0.06588630441848825,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,Flair,Flair
