sensitivity,specificity,false_positive_rate,precision,dice_score,balanced_accuracy,smooth_dice_loss,mae,model,run,Model Type,Fine Tuning,Source Modality,Target Modality
0.8207935690879822,0.9961456656455994,0.0038543459959328175,0.9141622185707092,0.8061109185218811,0.9084696173667908,0.19479867815971375,0.010590561665594578,Segan_IO_TF2_brats_ALL,testing,Base Model,From Scratch,ALL,ALL
0.8439975380897522,0.9963671565055847,0.0036328325513750315,0.9052544832229614,0.8079110383987427,0.9201824069023132,0.1940585970878601,0.007353560999035835,Segan_IO_TF2_brats_ALL,validation,Base Model,From Scratch,ALL,ALL
0.7773905992507935,0.9958054423332214,0.004194567911326885,0.890339732170105,0.7545199990272522,0.8865979909896851,0.25128173828125,0.01468058954924345,Segan_IO_TF2_brats_on_FLAIR,testing,Base Model,From Scratch,FLAIR,FLAIR
0.823387861251831,0.9959933161735535,0.004006762057542801,0.879898726940155,0.7894086241722107,0.9096905589103699,0.21525490283966064,0.009508269838988781,Segan_IO_TF2_brats_on_FLAIR,validation,Base Model,From Scratch,FLAIR,FLAIR
0.6934695839881897,0.9797810316085815,0.02021896280348301,0.6635631918907166,0.5636488795280457,0.8366253972053528,0.43927714228630066,0.03424162045121193,Segan_IO_TF2_brats_on_T1,testing,Base Model,From Scratch,T1,T1
0.7010633945465088,0.9861608147621155,0.013839135877788067,0.7093124389648438,0.5974650979042053,0.8436121344566345,0.4071636199951172,0.025673357769846916,Segan_IO_TF2_brats_on_T1,validation,Base Model,From Scratch,T1,T1
0.689569354057312,0.9880861639976501,0.011913804337382317,0.7515460252761841,0.6064377427101135,0.8388277888298035,0.39843040704727173,0.025690678507089615,Segan_IO_TF2_brats_on_T1c,testing,Base Model,From Scratch,T1c,T1c
0.7108879089355469,0.9881247878074646,0.011875222437083721,0.700214684009552,0.5788759589195251,0.8495063781738281,0.4279375672340393,0.022274695336818695,Segan_IO_TF2_brats_on_T1c,validation,Base Model,From Scratch,T1c,T1c
0.7638816833496094,0.9898362755775452,0.010163717903196812,0.8459750413894653,0.7265137434005737,0.8768590092658997,0.27601414918899536,0.019385401159524918,Segan_IO_TF2_brats_on_T2,testing,Base Model,From Scratch,T2,T2
0.7599432468414307,0.9919286370277405,0.008071293123066425,0.8535406589508057,0.7194778323173523,0.8759360313415527,0.2848975956439972,0.016487475484609604,Segan_IO_TF2_brats_on_T2,validation,Base Model,From Scratch,T2,T2
0.7176541090011597,0.9908722043037415,0.009127838537096977,0.39720988273620605,0.34801048040390015,0.8542631268501282,0.6936573386192322,0.022016901522874832,Segan_NoDice_TF2_brats_ALL,testing,Base Model,From Scratch,ALL,ALL
0.7515884637832642,0.9938556551933289,0.0061444006860256195,0.3830398917198181,0.33959275484085083,0.8727220892906189,0.7250250577926636,0.014475751668214798,Segan_NoDice_TF2_brats_ALL,validation,Base Model,From Scratch,ALL,ALL
0.7725280523300171,0.9971359968185425,0.0028639906086027622,0.9348268508911133,0.7746996283531189,0.884831964969635,0.2264714241027832,0.012628606520593166,Segan_TF2_brats_ALL,testing,Base Model,From Scratch,ALL,ALL
0.8121249675750732,0.9970667958259583,0.00293322978541255,0.924676239490509,0.7955780029296875,0.9045958518981934,0.20604436099529266,0.008147786371409893,Segan_TF2_brats_ALL,validation,Base Model,From Scratch,ALL,ALL
0.6965852379798889,0.9712008237838745,0.02879919297993183,0.6042398810386658,0.5246735215187073,0.8338929414749146,0.48646634817123413,0.04292118549346924,Transfer_Brats_Flair_to_T1,testing,Transfer,Full,Flair,T1
0.7068743109703064,0.9795939326286316,0.020406095311045647,0.6758135557174683,0.5791466236114502,0.8432340025901794,0.4368073642253876,0.032124608755111694,Transfer_Brats_Flair_to_T1,validation,Transfer,Full,Flair,T1
0.7366839647293091,0.9816159009933472,0.01838407851755619,0.6814242601394653,0.5967227816581726,0.8591499328613281,0.4257725179195404,0.030729230493307114,Transfer_Brats_Flair_to_T1_freeze_all,testing,Transfer,Generator,Flair,T1
0.7305054664611816,0.9864606261253357,0.013539396226406097,0.7129167914390564,0.6070788502693176,0.858483076095581,0.41685616970062256,0.02334458753466606,Transfer_Brats_Flair_to_T1_freeze_all,validation,Transfer,Generator,Flair,T1
0.64850914478302,0.9911201596260071,0.008879831992089748,0.7908292412757874,0.5958312153816223,0.8198146820068359,0.41179516911506653,0.02634868212044239,Transfer_Brats_Flair_to_T1c,testing,Transfer,Full,Flair,T1c
0.6792854070663452,0.9902560710906982,0.009743934497237206,0.7554828524589539,0.6061257719993591,0.8347706198692322,0.40246692299842834,0.023231731727719307,Transfer_Brats_Flair_to_T1c,validation,Transfer,Full,Flair,T1c
0.6536874771118164,0.9901003241539001,0.009899665601551533,0.7738452553749084,0.5975106358528137,0.8218938708305359,0.4112156927585602,0.02659687027335167,Transfer_Brats_Flair_to_T1c-freeze_all,testing,Transfer,Generator,Flair,T1c
0.6843529939651489,0.990307092666626,0.009692945517599583,0.754422664642334,0.5988880395889282,0.8373301029205322,0.4086887538433075,0.02202625572681427,Transfer_Brats_Flair_to_T1c-freeze_all,validation,Transfer,Generator,Flair,T1c
0.7515434622764587,0.9925251007080078,0.007474855985492468,0.8641940355300903,0.7332190871238708,0.8720342516899109,0.2684863209724426,0.017697786912322044,Transfer_Brats_Flair_to_T2,testing,Transfer,Full,Flair,T2
0.7647251486778259,0.9930995106697083,0.006900543812662363,0.8626754283905029,0.7416310906410217,0.8789122700691223,0.2609608471393585,0.014862648211419582,Transfer_Brats_Flair_to_T2,validation,Transfer,Full,Flair,T2
