,sensitivity,specificity,false_positive_rate,precision,dice_score,balanced_accuracy,smooth_dice_loss,mae,model,run,Target Dataset,Target Modality
0,0.5011181831359863,0.9416080117225647,0.05839196965098381,0.39703720808029175,0.31330767273902893,0.7213630676269531,0.6990236639976501,0.09029429405927658,Segan_IO_TF2_brats_on_FLAIR,testing,brats,T1
1,0.5358178019523621,0.9787527918815613,0.02124720811843872,0.5949982404708862,0.40755531191825867,0.7572852969169617,0.6075724363327026,0.051338933408260345,Segan_IO_TF2_brats_on_FLAIR,testing,brats,T1c
2,0.6669785380363464,0.9699968695640564,0.030003096908330917,0.46734419465065,0.4160040318965912,0.8184877038002014,0.5939769744873047,0.04650086909532547,Segan_IO_TF2_brats_on_FLAIR,testing,brats,T2
3,0.7773905992507935,0.9958054423332214,0.004194567911326885,0.890339732170105,0.7545199990272522,0.8865979909896851,0.25128173828125,0.01468058954924345,Segan_IO_TF2_brats_on_FLAIR,testing,brats,Flair
